iso3c,year,pres_election_year,leg_election_year,yrsoffc,exec_turnover,totalseats,gov1seat,gov_seat_share,gov_majority,oppmajh,checks,polariz,system,years_since_pres_election,years_since_leg_election
ECU,2020,0,0,3,0,137,74,0.5401459854014599,1,0,2,0,Presidential,3,3
GTM,2020,0,0,1,1,158,17,0.10759493670886076,0,1,1,0,Presidential,1,1
GUY,2020,0,1,5,0,65,33,0.5076923076923077,1,0,3,0,Assembly-Elected President,NA,0
HND,2020,0,0,7,0,128,61,0.4765625,0,0,4,0,Presidential,3,3
MEX,2020,0,0,2,0,500,189,0.378,0,0,4,2,Presidential,2,2
NIC,2020,0,0,14,0,92,70,0.7608695652173914,1,0,2,0,Presidential,4,4
PAN,2020,0,0,1,1,71,36,0.5070422535211268,1,0,3,0,Presidential,1,1
PER,2020,0,1,2,0,130,18,0.13846153846153847,0,1,4,0,Presidential,4,0
PRY,2020,0,0,2,0,80,42,0.525,1,0,2,0,Presidential,2,2
SLV,2020,0,0,1,1,84,37,0.44047619047619047,0,0,3,2,Presidential,1,2
SUR,2020,0,1,10,0,51,26,0.5098039215686274,1,0,2,0,Parliamentary,10,0
URY,2020,0,0,1,1,99,30,0.30303030303030304,0,0,4,2,Presidential,1,1
VEN,2020,0,0,7,0,167,55,0.32934131736526945,0,1,4,NA,Presidential,2,5
