iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
BOL,2004,-0.809159338,-0.644271314,-0.680570841,-0.265374273,-0.626744568,-0.170450285,-0.58638737325
BOL,2005,-0.741979063,-0.699575067,-0.971029878,-0.693852127,-0.765424848,-0.156710431,-0.72520777625
BOL,2006,-0.431123644,-0.732252717,-0.802562952,-0.888415873,-0.853729308,0.07646361,-0.7263803855000001
BOL,2007,-0.402193725,-0.574792743,-0.852070689,-0.98601824,-0.832326353,0.042223975,-0.69883276525
BOL,2008,-0.528391659,-0.629991829,-0.696565807,-0.864422381,-0.978549302,0.002961708,-0.7503387927499999
BOL,2009,-0.631416976,-0.604384601,-0.506110489,-0.873411775,-1.1139189,0.006946584,-0.8057830630000001
BOL,2010,-0.458648711,-0.500350833,-0.415407211,-0.797301412,-1.029790163,-0.039241143,-0.69652277975
BOL,2011,-0.573696494,-0.469424754,-0.417126507,-0.76334536099999994,-0.98403579,-0.068237789,-0.6976255997499999
BOL,2012,-0.727891862,-0.359967858,-0.458068103,-0.832377791,-1.018764019,-0.081585295,-0.7347503824999999
BOL,2013,-0.587968886,-0.37855944,-0.328593433,-0.78638947,-1.050950646,-0.069047958,-0.7009671105
BOL,2014,-0.628802955,-0.581926763,-0.333112091,-0.886673927,-1.058335066,-0.026367364,-0.7889346777500001
BOL,2015,-0.717874646,-0.676909506,-0.270498693,-0.919425428,-1.162117004,-0.004765418,-0.869081646
BOL,2016,-0.77488637,-0.600444853,-0.253675967,-1.019731879,-1.238739491,-0.036676735,-0.90845064825
BOL,2017,-0.701330721,-0.395564675,-0.280110896,-0.995769382,-1.245108128,-0.024840916,-0.8344432265
BOL,2018,-0.688641131,-0.329585135,-0.286620706,-1.007106662,-1.21190083,-0.05966698,-0.8093084394999999
BOL,2019,-0.781365752,-0.790566325,-0.728340268,-1.001956344,-1.18941927,-0.117428042,-0.9408269227500001
BOL,2020,-0.844824612,-0.726455271,-0.45346719,-1.035290122,-1.218631148,-0.086452402,-0.95630028825
BOL,2021,-0.883800149,-0.763246834,-0.278774261,-1.16856575,-1.177601814,-0.115398087,-0.99830363675
BOL,2022,-0.889700353,-0.564738214,-0.191908553,-1.210536242,-1.301404238,-0.197485566,-0.99159476175
BOL,2023,-0.838301063,-0.639481068,-0.313183635,-1.177118778,-1.21933794,-0.265191317,-0.9685597122499999
BRA,2000,0.013238784,0.043085087,0.184101626,0.258442432,-0.244871855,0.301593602,0.017473612000000006
BRA,2002,0.081942312,-0.034615345,0.327800274,0.182567075,-0.266611308,0.472238034,-0.009179316499999996
BRA,2003,0.090239018,0.081757367,0.004213934,0.196701482,-0.367893666,0.442828864,2.010502500000011e-4
BRA,2004,-0.027268711,-0.092270918,-0.275992811,0.037414186,-0.400920123,0.388609469,-0.1207613915
BRA,2005,-0.15374814,-0.157670245,-0.263379753,0.036901258,-0.475531459,0.45767951,-0.1875121465
BRA,2006,-0.120479897,-0.391295493,-0.294911116,-0.041273385,-0.402620196,0.500075698,-0.23891724274999998
BRA,2007,-0.083988786,-0.290289968,-0.357948095,-0.02283462,-0.409779429,0.537074029,-0.20172320075
BRA,2008,0.003437368,-0.148200899,-0.313424706,0.07702741,-0.28804478,0.568985701,-0.08894522525
BRA,2009,-0.079985611,-0.151303574,0.163664222,0.127607271,-0.103854693,0.52199918,-0.051884151749999996
BRA,2010,0.043806359,-0.086862549,0.013475911,0.246619865,0.056414437,0.571348906,0.064994528
