iso3c,year,ge_est,rq_est
GUY,2020,-0.446742803,-0.536126554
GUY,2021,-0.261401027,-0.522020161
GUY,2022,-0.266314894,-0.527693391
GUY,2023,-0.294487,-0.563037872
HND,2010,-0.636895478,-0.246572301
HND,2011,-0.520890951,-0.152864039
HND,2012,-0.691542149,-0.205009326
HND,2013,-0.724005818,-0.197600991
HND,2014,-0.812356412,-0.408311367
HND,2015,-0.859404504,-0.417710304
HND,2016,-0.763441384,-0.530846298
HND,2017,-0.530908048,-0.451085269
HND,2018,-0.618258476,-0.448792905
HND,2019,-0.619122744,-0.495705456
HND,2020,-0.645809412,-0.49494037
HND,2021,-0.819059908,-0.534852624
HND,2022,-0.86729633800000006,-0.485292733
HND,2023,-0.795222759,-0.550886929
MEX,2010,0.096291386,0.156337783
MEX,2011,0.252327204,0.184377462
MEX,2012,0.296199024,0.418743193
MEX,2013,0.302350998,0.418155193
MEX,2014,0.133970901,0.359438211
MEX,2015,0.117517561,0.276325017
MEX,2016,0.027610578,0.199013442
MEX,2017,-0.065302551,0.182068795
MEX,2018,-0.292850614,0.084375463
MEX,2019,-0.306684852,0.012595196
MEX,2020,-0.270338684,-0.012910045
MEX,2021,-0.343543798,-0.251374453
MEX,2022,-0.281723529,-0.148309499
MEX,2023,-0.198361441,-0.171988308
NIC,2010,-0.949312687,-0.302378356
NIC,2011,-0.893715918,-0.353553355
NIC,2012,-0.891339302,-0.310052246
NIC,2013,-0.813365757,-0.308052003
NIC,2014,-0.837822556,-0.408892065
NIC,2015,-0.862327516,-0.419965863
NIC,2016,-0.73757118,-0.528951228
NIC,2017,-0.668117821,-0.695781589
NIC,2018,-0.812322795,-0.731356859
NIC,2019,-0.777325749,-0.714432657
NIC,2020,-0.679674625,-0.679826021
NIC,2021,-0.884827673,-0.852285445
NIC,2022,-1.03687942,-0.914733768
NIC,2023,-1.08494556,-0.878058851
PAN,2010,0.131257296,0.472236633
PAN,2011,0.130668715,0.534382701
PAN,2012,0.319876164,0.468524963
PAN,2013,0.318168879,0.447597444
PAN,2014,0.277430743,0.476986915
PAN,2015,0.277811021,0.447250634
PAN,2016,0.153621435,0.468313783
PAN,2017,0.028131975,0.4252958
PAN,2018,0.012680994,0.385193199
PAN,2019,0.099871047,0.380994022
PAN,2020,0.164647356,0.322711378
PAN,2021,0.123601131,0.177574456
PAN,2022,-0.128100604,0.127132148
PAN,2023,-0.209720731,0.118782818
PER,2010,-0.239367962,0.392820895
PER,2011,-0.206647053,0.404832929
PER,2012,-0.187420115,0.436642319
PER,2013,-0.151038066,0.40630167700000003
PER,2014,-0.326710403,0.47424823
PER,2015,-0.367453665,0.439279824
PER,2016,-0.256282151,0.46932619800000003
PER,2017,-0.204775095,0.351487756
PER,2018,-0.323809534,0.44338277
PER,2019,-0.125898167,0.517202258
PER,2020,-0.294280052,0.471264184
PER,2021,-0.295280516,0.063778646
PER,2022,-0.39837572,0.20857498
PER,2023,-0.491872787,0.292205185
PRY,2010,-0.912053406,-0.361598462
PRY,2011,-0.849459469,-0.32660228
PRY,2012,-0.899536431,-0.261282653
PRY,2013,-0.879561782,-0.24729614
PRY,2014,-0.938229501,-0.205342337
PRY,2015,-0.998762786,-0.205608889
PRY,2016,-0.82180506,-0.229902908
PRY,2017,-0.841798902,-0.248225942
PRY,2018,-0.604888737,-0.089519158
PRY,2019,-0.576773107,-0.137215763
PRY,2020,-0.56520766,-0.139662296
PRY,2021,-0.655920208,-0.222117677
PRY,2022,-0.614015102,-0.169901669
PRY,2023,-0.462065369,-0.078939348
SLV,2010,-0.012319415,0.337437302
SLV,2011,-0.109997876,0.403908849
SLV,2012,-0.134835929,0.22834833
SLV,2013,-0.121620633,0.227205575
SLV,2014,-0.025264136,0.222213238
SLV,2015,-0.285931021,0.067986883
SLV,2016,-0.343923271,-0.050619148
SLV,2017,-0.387301892,-0.169971138
SLV,2018,-0.489993751,-0.016186897
SLV,2019,-0.531079948,-0.037950449
SLV,2020,-0.261266619,-0.08524321
SLV,2021,-0.341824085,-0.363843024
SLV,2022,-0.321259052,-0.46272406
SLV,2023,0.050439022,-0.307905406
SUR,2010,-0.108724214,-0.667498529
SUR,2011,-0.123884544,-0.58248961
SUR,2012,-0.012880336,-0.476160944
SUR,2013,-0.01792681,-0.44600299
SUR,2014,-0.177615508,-0.634206414
SUR,2015,-0.379115045,-0.631722152
SUR,2016,-0.372116715,-0.642956674
SUR,2017,-0.648720562,-0.557062507
SUR,2018,-0.686521709,-0.668974459
SUR,2019,-0.627012372,-0.701412082
SUR,2020,-0.57881397,-0.795015275
SUR,2021,-0.68069315,-0.721502066
SUR,2022,-0.944707155,-0.789872885
SUR,2023,-0.967238128,-0.728055537
URY,2010,0.633332193,0.599306583
URY,2011,0.539623916,0.609196186
URY,2012,0.415858507,0.599089086
URY,2013,0.397321582,0.715800822
URY,2014,0.43504113,0.723710597
URY,2015,0.454686135,0.588026166
URY,2016,0.504967213,0.681275368
URY,2017,0.404940635,0.644548297
URY,2018,0.504864872,0.623031616
URY,2019,0.643020868,0.613631606
URY,2020,0.73021096,0.687180042
URY,2021,0.799662232,0.719142973
URY,2022,0.849587679,0.713579416
URY,2023,0.850249708,0.675111055
VEN,2010,-1.102202773,-1.563119769
VEN,2011,-1.132086396,-1.402885199
VEN,2012,-1.082096219,-1.444834471
VEN,2013,-1.114338994,-1.529261708
VEN,2014,-1.175179601,-1.740042567
VEN,2015,-1.196390986,-1.872669816
VEN,2016,-1.273982406,-1.999046326
VEN,2017,-1.427531958,-1.984669447
VEN,2018,-1.67155385,-2.386736393
VEN,2019,-1.722444773,-2.38258338
VEN,2020,-1.889375687,-2.267459154
VEN,2021,-1.874597669,-2.215185881
VEN,2022,-1.689051867,-2.045843363
VEN,2023,-1.599200964,-2.026247501
