iso3c,year,v2xlg_legcon,v2edideol_mean,v2cacamps
NIC,2013,0.053,NA,-0.034
NIC,2014,0.053,NA,-0.034
NIC,2015,0.052,NA,-0.034
NIC,2016,0.041,NA,-0.034
NIC,2017,0.041,3,-0.034
NIC,2018,0.045,3,1.733
NIC,2019,0.045,3,1.733
NIC,2020,0.034,3,2.095
NIC,2021,0.026,3,3.136
NIC,2022,0.048,NA,3.136
NIC,2023,0.024,NA,3.136
NIC,2024,0.024,NA,3.136
CHL,2010,0.982,0.667,-1.579
CHL,2011,0.982,0.667,-1.579
CHL,2012,0.982,0.667,-1.579
CHL,2013,0.969,0.667,-1.579
CHL,2014,0.975,0.667,-1.439
CHL,2015,0.977,0.667,-1.235
CHL,2016,0.977,0.667,-1.235
CHL,2017,0.978,0.667,-1.235
CHL,2018,0.978,0.667,-0.707
CHL,2019,0.984,0.667,0.651
CHL,2020,0.982,0.667,0.233
CHL,2021,0.982,0.667,0.721
CHL,2022,0.978,NA,0.46
CHL,2023,0.98,NA,0.46
CHL,2024,0.98,NA,-0.452
CRI,2010,0.948,1.667,-1.381
CRI,2011,0.948,1.667,-1.381
CRI,2012,0.948,1.667,-1.381
CRI,2013,0.94,1.667,-1.381
CRI,2014,0.953,1.667,-1.381
CRI,2015,0.953,1.667,-1.381
CRI,2016,0.953,1.667,-1.381
CRI,2017,0.959,1.667,-1.381
CRI,2018,0.959,1.667,-1.381
CRI,2019,0.959,1.667,-1.381
CRI,2020,0.959,1.667,-1.381
CRI,2021,0.959,1.667,-1.717
CRI,2022,0.959,NA,-0.695
CRI,2023,0.959,NA,-0.695
CRI,2024,0.959,NA,-0.695
ECU,2010,0.252,2.333,1.176
ECU,2011,0.252,2.2,1.176
ECU,2012,0.219,2.2,1.176
ECU,2013,0.155,2.2,1.367
ECU,2014,0.143,2.2,1.367
ECU,2015,0.145,2.2,1.367
ECU,2016,0.146,2.167,1.367
ECU,2017,0.514,2,1.367
ECU,2018,0.676,2,1.649
ECU,2019,0.703,2,1.649
ECU,2020,0.78,2,1.649
ECU,2021,0.689,2,0.891
ECU,2022,0.791,NA,0.891
ECU,2023,0.788,NA,0.669
ECU,2024,0.753,NA,0.669
GTM,2010,0.756,NA,-0.964
GTM,2011,0.725,NA,-0.964
GTM,2012,0.713,NA,-0.964
GTM,2013,0.757,NA,-0.964
GTM,2014,0.757,NA,-0.964
GTM,2015,0.784,NA,-0.587
GTM,2016,0.784,NA,-0.169
GTM,2017,0.753,NA,-0.169
GTM,2018,0.698,NA,-0.169
GTM,2019,0.709,NA,-0.169
GTM,2020,0.688,NA,0.04
GTM,2021,0.569,2,0.312
GTM,2022,0.488,NA,0.718
GTM,2023,0.486,NA,0.945
GTM,2024,0.828,NA,0.45
PAN,2010,0.709,NA,-0.835
PAN,2011,0.709,NA,-0.835
PAN,2012,0.709,NA,-0.835
PAN,2013,0.719,NA,-0.835
PAN,2014,0.719,NA,-0.835
PAN,2015,0.719,NA,-0.835
PAN,2016,0.719,NA,-0.835
PAN,2017,0.726,NA,-0.835
PAN,2018,0.726,NA,-0.611
PAN,2019,0.726,NA,-0.953
PAN,2020,0.725,NA,-0.953
PAN,2021,0.721,NA,-0.953
PAN,2022,0.777,NA,-0.953
PAN,2023,0.777,NA,-0.846
PAN,2024,0.824,NA,-1.131
URY,2010,0.915,1,-3.267
URY,2011,0.915,1,-3.267
URY,2012,0.915,1,-3.267
URY,2013,0.915,1,-3.267
URY,2014,0.915,1,-3.267
URY,2015,0.915,1,-3.267
URY,2016,0.915,1,-3.267
URY,2017,0.915,1,-3.267
URY,2018,0.915,1,-3.267
URY,2019,0.915,1,-2.932
URY,2020,0.927,0.778,-1.991
URY,2021,0.927,0.778,-2.51
URY,2022,0.915,NA,-2.51
URY,2023,0.897,NA,-2.036
URY,2024,0.885,NA,-1.578
GUY,2010,0.35,1.111,1.131
GUY,2011,0.35,1.111,1.316
GUY,2012,0.37,1.111,1.137
GUY,2013,0.386,1.111,1.137
GUY,2014,0.384,1.111,1.137
GUY,2015,0.406,1.111,1.137
GUY,2016,0.412,1.111,1.302
GUY,2017,0.405,1.111,1.043
GUY,2018,0.372,1.111,1.043
GUY,2019,0.337,1.111,1.043
GUY,2020,0.388,1.111,1.044
GUY,2021,0.301,1.111,0.961
GUY,2022,0.332,NA,0.673
GUY,2023,0.237,NA,0.673
GUY,2024,0.217,NA,0.673
PRY,2010,0.802,1.6,-1.207
PRY,2011,0.802,1.6,-1.207
PRY,2012,0.773,1.6,-1.041
PRY,2013,0.583,1.6,-1.139
PRY,2014,0.583,1.6,-1.195
PRY,2015,0.608,1.6,-1.195
PRY,2016,0.648,1.6,-1.195
PRY,2017,0.643,1.6,-1.052
PRY,2018,0.638,1.6,-1.132
PRY,2019,0.671,1.6,-1.199
PRY,2020,0.728,1.7,-0.904
PRY,2021,0.681,1.7,-0.687
PRY,2022,0.681,NA,-1.214
PRY,2023,0.668,NA,-0.91
PRY,2024,0.441,NA,-0.711
